user_id,signup_time,purchase_time,purchase_value,device_id,source,browser,sex,age,class
22058,2/24/15 22:55,4/18/15 2:47,34,QVPSPJUOCKZAR,SEO,Chrome,M,39,0
333320,6/7/15 20:39,6/8/15 1:38,16,EOGFQPIZPYXFZ,Ads,Chrome,F,53,0
1359,1/1/15 18:52,1/1/15 18:52,15,YSSKYOSJHPPLJ,SEO,Opera,M,53,1
150084,4/28/15 21:13,5/4/15 13:54,44,ATGTXKYKUDUQN,SEO,Safari,M,41,0
221365,7/21/15 7:09,9/9/15 18:40,39,NAUITBZFJKHWW,Ads,Safari,M,45,0
159135,5/21/15 6:03,7/9/15 8:05,42,ALEYXFXINSXLZ,Ads,Chrome,M,18,0
50116,8/1/15 22:40,8/27/15 3:37,11,IWKVZHJOCLPUR,Ads,Chrome,F,19,0
360585,4/6/15 7:35,5/25/15 17:21,27,HPUCUYLMJBYFW,Ads,Opera,M,34,0
159045,4/21/15 23:38,6/2/15 14:01,30,ILXYDOZIHOOHT,SEO,IE,F,43,0
182338,1/25/15 17:49,3/23/15 23:05,62,NRFFPPHZYFUVC,Ads,IE,M,31,0
199700,7/11/15 18:26,10/28/15 21:59,13,TEPSJVVXGNTYR,Ads,Safari,F,35,0
73884,5/29/15 16:22,6/16/15 5:45,58,ZTZZJUCRDOCJZ,Direct,Chrome,M,32,0
79203,6/16/15 21:19,6/21/15 3:29,18,IBPNKSMCKUZWD,SEO,Safari,M,33,0
299320,3/3/15 19:17,4/5/15 12:32,50,RMKQNVEWGTWPC,Direct,Safari,M,38,0
82931,2/16/15 2:50,4/16/15 0:56,15,XKIFNYUZMBWFU,SEO,IE,M,24,0
31383,2/1/15 1:06,3/24/15 10:17,58,UNUAVQXNWFBMO,SEO,Safari,F,24,0
78986,5/15/15 3:52,8/11/15 2:29,57,TGHVAWBMZRDHH,SEO,FireFox,M,23,0
119824,3/20/15 0:31,4/5/15 7:31,55,WFIIFCPIOGMHT,Ads,Safari,M,38,0
357386,2/3/15 0:48,3/24/15 18:27,40,NWSVDOHYIOBDR,Ads,FireFox,M,24,0
289172,7/17/15 5:48,11/12/15 22:08,46,KFZGQIWDIRLZB,Direct,FireFox,F,53,0
154699,7/8/15 15:35,7/20/15 0:11,24,TYZPZLEWNJJRI,Direct,FireFox,F,23,0
316355,8/8/15 20:05,10/3/15 2:21,47,IHGECNGZGQOAZ,SEO,Chrome,M,28,0
343378,1/30/15 8:50,4/22/15 15:11,47,VOMVNRHNBLLMI,SEO,Chrome,F,24,0
370338,1/8/15 11:47,3/29/15 20:46,25,QLMZBEDPYFUXT,Ads,IE,M,34,0
171711,1/11/15 1:51,1/11/15 1:51,52,YPLQGKBAAULUV,Direct,IE,F,35,1
59780,1/4/15 22:32,1/16/15 1:13,31,WUMOBGUCBOXPO,SEO,FireFox,M,36,1
176129,1/28/15 12:53,1/29/15 23:21,37,XUNJIVTRXCRZL,Ads,IE,M,32,0
100886,7/12/15 14:14,7/29/15 7:41,54,GIREUSMFWWUZJ,SEO,Chrome,F,28,0
221257,5/29/15 17:55,9/5/15 22:42,12,LGFXOENGXOBXI,SEO,IE,M,19,0
151705,1/7/15 3:44,1/7/15 3:44,48,URHCRIXOMLJMH,SEO,Chrome,F,27,1
399610,4/3/15 20:06,6/1/15 7:42,30,CLTWKVSGDCFRD,SEO,FireFox,F,39,0
396746,8/5/15 23:50,8/14/15 12:08,56,JUWCOHMHRBDCL,SEO,IE,M,56,0
243817,2/13/15 18:16,4/23/15 17:44,72,YIIEFBZUGEXNR,Direct,Chrome,F,32,0
262245,1/3/15 3:29,2/26/15 23:23,38,YAQQIDVLQRBLL,Ads,IE,F,21,0
